Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Ligue
Mário Rui,DL,12,,5.48,6,5.46,22,1,23,0.87,0,0.85,0,0,0,0.95,1,0.96,1760,77,1833,80,77,79.7,,,,1000,6,0,0,0,0,0,0,0,0,5,3,0,0,0,5,0,5.5,5.5,5,6,5,6.5,0,4.5,6,0,7,0,4.5,6,6.5,5.5,5,6,0,5,6,6,11.5,,,,6,5,17,0.8336,1924,15,22,52.47,19,,,0,Napoli,,,,,,,SerieA
Hjulmand Morten,MO,15,,5.47,5.5,5.47,35,2,35,1.01,0.71,1.01,0,0,0,0.97,0.5,0.97,2963,116,2963,84.66,58,84.66,,,,1000,6,5,0,5,6,4.5,6,4.5,5.5,5.5,4.5,4.5,4.5,5,5,7,5,7.5,6.5,4.5,6,0,5.5,7.5,7.5,5.5,4.5,4.5,0,3.5,5,6.5,5,4.5,7,5.5,6,5.5,6,,,,4,3,4,0.7804,1759,70,52,56.97,61,,,0,Lecce,,,,,,,SerieA
Szczesny Wojciech,G,16,20,5.46,5,5.46,28,3,28,1.11,1.5,1.11,0,0,0,1,1,1,2473,270,2473,88.32,90,88.32,,,,1000,6.5,5,3.5,0,6,6,6,6,0,4,6,6.5,0,4.5,4.5,0,6,5.5,4,4,3,6.5,6.5,7,0,7,5.5,6.5,6,4,6,0,0,0,5,6,0,0,14,,,,,,,,,,,,,35,32,0,Juventus,,,,,,,SerieA
Maignan Mike,G,17,20,5.45,5.33,5.5,22,15,24,0.84,0.82,0.82,0,0,0,1,1,1,1979,1349,2159,89.95,89.93,89.96,,,,1000,4.5,6.5,5,4,6,5,5,6.5,5,6,6,4,5,6,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5.5,7.5,6,5,5,8,,,,,,,,,,,,,22,19,0,Milan,,,,,,,SerieA
Carnesecchi Marco,G,15,,5.41,0,5.41,27,0,27,1.48,0,1.48,0,0,0,1,0,1,2430,0,2430,90,0,90,,,,1000,0,0,2,5,8,6,6,4,6.5,6,3.5,7,4,5,6,6,5.5,4,7,7,4,4.5,7,4,7,3,7,5.5,5.5,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,63,44,0,Cremonese,,,,,,,SerieA
Musso Juan,G,7,,5.4,0,5.35,24,0,26,1.03,0,1.01,0,0,0,1,0,1,2078,0,2258,86.58,0,86.85,,,,1000,0,0,0,0,0,5,0,0,0,4.5,6,5,5,5.5,3.5,4,7,7,7,6,4.5,5,0,4,0,5,6.5,0,0,0,0,5,4,6.5,5.5,6.5,6,5.5,7,,,,,,,,,,,,,36,28,0,Atalanta,,,,,,,SerieA
Rugani Daniele,DC,7,,5.39,5,5.35,9,1,10,0.6,0,0.58,0,0,0,0.67,0,0.6,563,1,608,62.56,1,60.8,,,,1000,5,0,5,0,6,0,0,5,0,0,0,0,5,0,0,6,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4.5,0,4.5,,,,,,,0.7917,328,7,,57.58,5,,,0,Juventus,,,,,,,SerieA
Milinkovic-Savic Vanja,G,16,,5.36,5.36,5.36,38,38,38,0.98,0.98,0.98,0,0,0,1,1,1,3420,3420,3420,90,90,90,,,,1000,5.5,6.5,4.5,7,6.5,6,5,7,4.5,5,5.5,3,6,6,3,4,5,6,4.5,7,6,5.5,5,5,5.5,5,5,6,6,5,4,6,5,6,4,6,6,5,11,,,,,,,,,,,,,50,45,0,Torino,,,,,,,SerieA
Acerbi Francesco,DC,16,16,5.35,5.53,5.3,31,19,33,0.91,0.87,0.9,0,0,0,0.81,0.79,0.82,2418,1490,2598,78,78.42,78.73,,,,1000,5,5.5,4,4.5,6.5,6.5,4,7,6,5.5,4.5,5.5,6,6.5,5,6,6,5,6,0,5,4.5,6.5,4.5,6,4,6,5,6,5.5,3.5,4.5,0,0,0,0,0,0,8.5,,,,2,,6,0.8868,1933,40,19,63.46,16,,,0,Inter,,,,,,,SerieA
Brekalo Josip,A,8,,5.33,0,5.31,6,0,8,0.61,0,1.31,0,0,1,0.17,0,0.38,227,0,362,37.83,0,45.25,,362,7.5,1000,0,0,4.5,6,0,0,0,0,5,6,0,0,5,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,2,,0.8113,142,1,1,39.39,3,,,0,Fiorentina,,,,,,,SerieA
Gyömbér Norbert,DC,13,16,5.31,5,5.22,27,1,29,0.76,0,0.85,0,0,0,0.85,1,0.86,1752,76,1905,64.89,76,65.69,,,,1000,5,0,4.5,0,0,5,5.5,7.5,5,5.5,6,5,6,6,6.5,0,5.5,0,0,5,4,5,0,0,0,0,5,6,4,5.5,0,4.5,5,5.5,4.5,5.5,6,5,6,,,,1,1,2,0.8256,976,35,23,60.14,22,,,0,Salernitana,,,,,,,SerieA
Østigård Leo,DC,1,,5.29,6,5.17,7,1,9,0.57,0,0.56,0,0,0,0.57,1,0.67,416,90,596,59.43,90,66.22,,,,1000,6,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4.5,5,0,0,0,0,5,0,0,0,0,5.5,0,0,0,3,,,,,,,0.8149,406,6,1,80.85,2,,,0,Napoli,,,,,,,SerieA
Medel Gary,DC,11,,5.29,5.33,5.23,29,3,30,0.66,0.58,0.73,0,0,0,0.59,0.33,0.6,1476,102,1566,50.9,34,52.2,,,,1000,6,5,5,0,5,0,5,0,5,5,5,0,6,0,4.5,5,5,0,0,0,0,5.5,5.5,7,4.5,6,5.5,6.5,5.5,5,5,5.5,6,6,4.5,4,5.5,4.5,6,,,,1,1,1,0.8903,1266,28,15,56.6,19,,,0,Bologna,,,,,,,SerieA
Dragowski Bartlomiej,G,16,17,5.28,0,5.28,34,0,34,1.37,0,1.37,0,0,0,1,0,1,2948,0,2948,86.71,0,86.71,,,,1000,0,2.5,5.5,6,4,4.5,4,0,4,6.5,5,6,8,6.5,4.5,5,6,3,5,4,7,7,0,4.5,0,7.5,5,6,4.5,4,3.5,7,6,5.5,4,4.5,6,7.5,6,,,,,,,,,,,,,72,41,0,Spezia,,,,,,,SerieA
Amrabat Sofyan,MD,12,,5.28,5.5,5.32,29,1,30,0.88,0,0.9,0,0,0,0.83,1,0.83,2004,82,2094,69.1,82,69.8,,,,1000,5.5,0,0,0,5,0,8,3.5,0,0,5,6,7,6,6,4,5.5,5.5,5.5,5,5,0,5,5,5.5,5.5,5,4,0,4.5,5.5,4.5,5,6,4.5,5.5,0,5,6.5,,,,1,1,8,0.8815,1719,21,24,47.31,54,,,0,Fiorentina,,,,,,,SerieA
Ismajli Ardian,DC,9,9,5.28,0,5.28,25,0,25,0.8,0,0.8,0,0,0,0.88,0,0.88,2090,0,2090,83.6,0,83.6,,,,1000,0,4.5,5.5,4.5,0,0,0,3.5,0,0,6.5,5.5,4.5,4.5,5,5,5.5,0,0,0,5.5,5,5,7,5,6,5,0,0,0,0,6,4.5,4.5,6.5,5.5,6,6,6.5,,,,,,1,0.8381,1326,27,32,62.22,19,,,0,Empoli,,,,,,,SerieA
Pongracic Marin,DC,1,,5.28,0,5.28,9,0,9,0.51,0,0.51,0,0,0,1,0,1,791,0,791,87.89,0,87.89,,,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,4.5,5,5.5,0,5.5,6,5,0,0,5,0,0,2,,,,,,,0.8184,448,16,14,50,15,,,0,Lecce,,,,,,,SerieA
Thiaw Malick,DC,10,,5.28,5.5,5.28,20,3,20,0.75,0.87,0.75,0,0,0,0.75,1,0.75,1364,270,1364,68.2,90,68.2,,,,1000,4.5,6,6,0,5,4.5,5.5,5.5,5,5,0,3,5.5,5,6,6,6,5,0,0,0,0,0,5,6,5,0,0,6,0,0,0,0,0,0,0,0,0,4.5,,,,,,2,0.7732,1218,12,26,62.33,14,,,0,Milan,,,,,,,SerieA
Marusic Adam,DL,15,15,5.26,0,5.21,33,0,35,0.95,0,0.94,0,0,0,0.94,0,0.94,2765,0,2945,83.79,0,84.14,,,,1000,0,0,5,0,4.5,6,3,5,6,5,0,6.5,0,5,5,6.5,4.5,6,5,7,6,4.5,5,3,5,5.5,4,6.5,5,6.5,5,6,6,4,5.5,5,5,6,18,,,,2,2,4,0.8791,2109,37,30,55.29,22,,,0,Lazio,,,,,,,SerieA
Tatarusanu Ciprian,G,7,7,5.25,0,5.25,16,0,16,1.25,0,1.25,0,0,0,1,0,1,1440,0,1440,90,0,90,,,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,2.5,3,4,4.5,5,6,5.5,6,4.5,6,5.5,6.5,6,0,0,0,0,0,0,0,4,,,,,,,,,,,,,27,13,0,Milan,,,,,,,SerieA
Sarr Mouhamadou,G,7,,5.25,5.25,5.25,2,2,2,1.06,1.06,1.06,0,0,0,1,1,1,180,180,180,90,90,90,,,,1000,6,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,1,4,0,Cremonese,,,,,,,SerieA
Lazzari Manuel,MD,12,,5.25,0,5.2,28,0,30,0.66,0,0.68,0,0,0,0.79,0,0.8,1887,0,2061,67.39,0,68.7,,,,1000,0,4.5,6,4.5,5,6,5,5.5,0,0,6,0,5.5,0,5,0,5,0,5,4.5,0,5,5,0,5,5.5,4,6,5,6,7,0,6,4.5,5.5,5.5,5,4.5,12.5,,,,,,10,0.8906,1449,18,22,60.24,15,,,0,Lazio,,,,,,,SerieA
Soumaoro Adama,DC,10,13,5.24,0,5.19,23,0,24,0.89,0,0.91,0,0,0,0.96,0,0.96,1870,0,1960,81.3,0,81.67,,,,1000,0,0,0,0,0,5,6,5,5.5,6,6,5,5.5,0,0,0,0,0,6,5.5,5.5,4,5.5,6,3,6,6.5,5,0,5,0,0,0,5,5.5,5,0,3,8.5,,,,,,1,0.9173,1248,15,17,64.81,21,,,0,Bologna,,,,,,,SerieA
Montipò Lorenzo,G,19,19,5.24,4.92,5.25,37,13,38,1.28,1.46,1.26,0,0,0,1,1,1,3330,1170,3420,90,90,90,,,,1000,4,5.5,2.5,6,6,2.5,6,6.5,6,6,4.5,3,5.5,0,4,6,6,5.5,6.5,7,5.5,7,4.5,6.5,5,4,4,4,6,4.5,6,7,5,5.5,6,6.5,5.5,2.5,5,,,,,,,,,,,,,69,56,0,Verona,,,,,,,SerieA
Terracciano Pietro,G,17,,5.22,0,5.16,29,0,31,1.09,0,1.17,0,0,0,1,0,1,2610,0,2790,90,0,90,,,,1000,0,0,0,0,6.5,3,0,4.5,4.5,5,7,6,0,6.5,7,5.5,5.5,5.5,5,5,4,6,5.5,4,4.5,6,7,4,4.5,3,6,6,4.5,5,5,0,0,0,5,,,,,,,,,,,,,46,14,0,Fiorentina,,,,,,,SerieA
Bastoni Alessandro,DC,12,,5.21,5.3,5.21,29,5,31,0.84,0.76,0.81,0,0,0,0.9,0.8,0.9,2168,312,2298,74.76,62.4,74.13,,,,1000,6,5.5,4.5,4.5,6,0,5,0,4.5,0,5.5,0,4.5,5,5,6,0,5.5,5.5,5.5,6,5.5,6,5.5,5,0,6.5,0,0,5.5,4.5,4.5,5,3.5,0,3,7,5,9,,,,2,7,7,0.8439,1902,24,20,60.12,19,,,0,Inter,,,,,,,SerieA
Handanovic Samir,G,7,,5.21,6,5.25,14,1,16,1.19,0,1.13,0,0,0,1,1,1,1235,65,1415,88.21,65,88.44,,,,1000,6,0,0,5.5,0,6,0,6,0,0,0,0,4,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,4,6,4,5.5,5.5,4,,,,,,,,,,,,,25,10,0,Inter,,,,,,,SerieA
Silvestri Marco,G,16,,5.2,5.2,5.18,38,38,39,1.08,1.08,1.07,0,0,0,1,1,1,3420,3420,3510,90,90,90,,,,1000,6,3.5,6,4,6,5.5,5.5,6,4,5,3,6.5,6.5,7,4,5,4,5.5,4.5,6,4,5.5,4,4,6,4,6,5,6,5.5,5,6,5,6,6,6,7,3,10,,,,,,,,,,,,,63,28,0,Udinese,,,,,,,SerieA
Sportiello Marco,G,14,,5.2,5,5.2,15,5,15,1.05,0.71,1.05,0,0,0,0.93,1,0.93,1340,448,1340,89.33,89.6,89.33,,,,1000,5,6,5,5,4,0,6,5.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,5.5,4,7,6.5,0,0,0,0,0,0,1,,,,,,,,,,,,,18,25,0,Atalanta,,,,,,,SerieA
Duda Ondrej,MO,11,,5.2,0,5.2,15,0,15,0.41,0,0.41,0,0,0,0.73,0,0.73,1066,0,1066,71.07,0,71.07,,,,1000,0,0,0,5,5.5,5,0,5,5.5,5,5.5,5,5.5,5.5,4.5,5,6,5.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,,,,,1,3,0.7749,630,13,14,56.12,17,,,0,Verona,,,,,,,SerieA
Zoet Jeroen,G,7,,5.2,5,5.2,5,1,5,0.45,0,0.45,0,0,0,0.8,1,0.8,335,90,335,67,90,67,,,,1000,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,4,5,0,Spezia,,,,,,,SerieA
Rui Patrício,G,17,17,5.19,0,5.19,35,0,37,1.11,0,1.09,0,0,0,1,0,1,3150,0,3330,90,0,90,,,,1000,0,0,4,0,4,6,4.5,2.5,7,6,6,6,5.5,7,4,5.5,5,6,5,6,6,4.5,5.5,4.5,6,4.5,5.5,6,5.5,5,4,4,5.5,2,6,5,6,6,13,,,,,,,,,,,,,32,42,0,Roma,,,,,,,SerieA
Grassi Alberto,MD,9,,5.18,5.38,5.19,25,8,27,0.63,0.69,0.61,0,0,0,0.56,0.88,0.59,1191,589,1361,47.64,73.63,50.41,,,,1000,4.5,6.5,5.5,5.5,5,6,5.5,4.5,0,5,5,4.5,5,0,5,5,0,0,0,0,0,5,5,7,5,0,0,0,0,0,5,4,5,5.5,5.5,5,5,0,4,,,,,,1,0.7387,771,27,21,54.33,22,,,0,Empoli,,,,,,,SerieA
Lopez Maxime,MO,14,,5.17,4.9,5.11,30,5,32,0.97,0.22,0.98,0,0,0,0.83,0.8,0.81,2296,355,2369,76.53,71,74.03,,,,1000,4.5,5,5,5,5,0,6,3,6,6,5,5.5,5.5,6.5,5,4,5,0,0,0,4,0,0,0,6,5.5,3,5,5,4.5,7.5,6,4,5.5,5,6,6,0,7,,,,,2,5,0.8852,1914,22,18,40.48,31,,,0,Sassuolo,,,,,,,SerieA
Ranieri Luca,DL,4,,5.17,6,5.17,9,1,9,0.43,0,0.43,0,0,0,0.56,1,0.56,505,90,505,56.11,90,56.11,,,,1000,6,0,5,0,0,5,5.5,0,0,0,5,0,0,5,0,0,5,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,3,,,,,,,0.8006,391,11,4,50,6,,,0,Fiorentina,,,,,,,SerieA
Florenzi Alessandro,DL,5,,5.17,5,5.13,6,1,8,0.41,0,0.35,0,0,0,0.33,0,0.25,199,6,218,33.17,6,27.25,,,,1000,5,0,0,0,0,0,0,0,5,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0.5,,,,,,2,0.7178,198,4,4,57.14,2,,,0,Milan,,,,,,,SerieA
Svilar Mile,G,7,,5.17,4.75,5.17,3,2,3,0.76,0.35,0.76,0,0,0,1,1,1,270,180,270,90,90,90,,,,1000,5,4.5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,2,5,0,Roma,,,,,,,SerieA
Bohinen Emil,MO,9,,5.15,5.14,5.14,24,14,25,0.45,0.5,0.45,0,0,0,0.38,0.36,0.4,822,490,885,34.25,35,35.4,,,,1000,4,5,5.5,5,5.5,5,5.5,5.5,5,4.5,5,5,6,5.5,0,0,0,5.5,5.5,0,0,5.5,5.5,5.5,5,4.5,5,4.5,5,0,0,0,0,0,0,0,0,0,,,,,,,2,0.8194,641,17,13,50.44,15,,,0,Salernitana,,,,,,,SerieA
Perisan Samuele,G,13,,5.14,0,5.14,7,0,7,1.35,0,1.35,0,0,0,1,0,1,630,0,630,90,0,90,,,,1000,0,0,0,0,0,0,0,3,6,7,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,14,1,0,Empoli,,,,,,,SerieA
Gila Mario,DC,1,,5.13,0,5.13,4,0,4,0.25,0,0.25,0,0,0,0,0,0,86,0,86,21.5,0,21.5,,,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5.5,5,0,0,5,0,0,0,,,,,,,,0.9071,73,3,1,40,1,,,0,Lazio,,,,,,,SerieA
Kjaer Simon,DC,6,12,5.12,0,5.12,17,0,17,0.7,0,0.7,0,0,0,0.71,0,0.71,1009,0,1009,59.35,0,59.35,,,,1000,0,0,5,4,5.5,0,6,4.5,0,0,6,0,0,0,0,0,6,5,0,3.5,5,0,0,0,5.5,0,0,5.5,0,0,5.5,4.5,5.5,5,5,0,0,0,5,,,,,,,0.8774,767,9,8,57.38,8,,,0,Milan,,,,,,,SerieA
Vojvoda Mërgim,DL,8,,5.12,5.25,5.15,29,2,30,0.81,1.06,0.81,0,0,0,0.62,1,0.63,1716,147,1771,59.17,73.5,59.03,,,,1000,4.5,6,0,6,5.5,7,4.5,0,4.5,0,5,4.5,5,5,5,4.5,4.5,5,5,6,4,4.5,4,4.5,7,4.5,0,5,0,5,0,0,5,6.5,5,6,0,0,8,,,,5,6,9,0.7761,1345,10,12,40.8,19,,,0,Torino,,,,,,,SerieA
Bellanova Raoul,DL,7,,5.11,5,5.13,18,1,20,0.58,0,0.6,0,0,0,0.17,0,0.25,487,16,667,27.06,16,33.35,,,,1000,5,0,4,5,5,5.5,0,7,0,0,5.5,5,0,0,0,0,0,0,0,4.5,0,0,0,5,5,5,5,5,5,0,5,0,5.5,0,5,0,0,0,1,,,,,1,4,0.8266,390,4,6,63.46,4,,,0,Inter,,,,,,,SerieA
Sottil Riccardo,A,8,,5.11,0,5.11,18,0,18,0.83,0,0.83,0,0,0,0.5,0,0.5,832,0,832,46.22,0,46.22,,,,1000,0,4.5,5,0,4.5,4.5,6,5,4.5,5,4.5,5,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6.5,5,6,4.5,7,3.5,,,,2,1,14,0.8037,415,,3,50.55,4,,,0,Fiorentina,,,,,,,SerieA
Rodríguez Ricardo,DL,12,,5.11,5.09,5.09,35,17,37,0.79,0.99,0.82,0,0,0,0.86,1,0.86,2670,1391,2805,76.29,81.82,75.81,,,,1000,5,6,5,6,5.5,6,4.5,5,5.5,6.5,5,3,5.5,6,3,4.5,4.5,0,4.5,5.5,5.5,5.5,5,5.5,6,5,5,0,5,5,4,0,5,6,4,5.5,5.5,5,11,,,,,1,10,0.8292,2038,38,33,54.7,25,,,0,Torino,,,,,,,SerieA
Zima David,DC,1,,5.11,0,5.18,9,0,11,0.74,0,0.72,0,0,0,0.44,0,0.55,402,0,582,44.67,0,52.91,,,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,5,6.5,0,5,4,5,0,0,5,4.5,0,0,0,0,0,1,,,,,,2,0.7909,252,9,5,62.79,4,,,0,Torino,,,,,,,SerieA
Gatti Federico,DC,9,,5.11,4.75,5.11,18,4,18,1.01,1.5,1.01,0,0,0,0.89,1,0.89,1446,360,1446,80.33,90,80.33,,,,1000,6,4,3,6,0,5,5.5,5,5,3.5,6,6,5,0,0,0,0,0,4,0,0,0,6,6,0,0,6,0,0,0,0,4,0,0,6,0,0,0,9,,,,,1,3,0.7858,1146,21,11,54.84,16,,,0,Juventus,,,,,,,SerieA
Umtiti Samuel,DC,9,,5.1,5.05,5.1,25,10,25,0.66,0.76,0.66,0,0,0,0.96,1,0.96,2114,899,2114,84.56,89.9,84.56,,,,1000,4,5.5,6,5,5.5,4.5,6,4.5,5.5,4,0,4.5,5,4.5,0,0,6,6,4.5,4,5,5.5,6,5,5,5.5,0,0,5,5.5,0,0,0,0,0,0,0,0,6,,,,,,4,0.7983,1155,26,35,61.03,32,,,0,Lecce,,,,,,,SerieA
Walukiewicz Sebastian,DC,6,,5.09,3.5,5.09,11,1,11,0.7,0,0.7,0,0,0,0.55,1,0.55,601,90,601,54.64,90,54.64,,,,1000,3.5,0,0,5,5,5.5,5.5,0,6,0,0,5,0,0,0,0,0,0,0,5,0,0,0,6,0,0,5,0,0,4.5,0,0,0,0,0,0,0,0,2,,,,,,,0.7764,470,7,6,55.88,5,,,0,Empoli,,,,,,,SerieA
Lucumí Jhon,DC,13,14,5.09,4.83,5.09,33,3,33,0.78,0.76,0.78,0,0,0,1,1,1,2901,270,2901,87.91,90,87.91,,,,1000,4,5,5.5,0,4.5,4,3.5,5.5,5.5,6,5.5,5,5,5,5.5,5,0,6,6,5.5,5,4.5,5,7.5,4,4.5,5.5,5.5,4,5.5,0,5.5,5,4.5,5.5,4.5,0,0,9.5,,,,1,,4,0.8778,2310,35,37,57.43,29,,,0,Bologna,,,,,,,SerieA
Kovalenko Viktor,MO,8,,5.08,0,5.08,18,0,20,0.35,0,0.37,0,0,0,0.39,0,0.35,547,0,581,30.39,0,29.05,,,,1000,0,0,0,5,5,0,5.5,5,0,0,5,0,6,5.5,5,0,0,0,5,5,0,0,4.5,0,0,0,0,0,0,5,0,4.5,5,5,5,5.5,5,0,,,,,,1,2,0.6559,327,4,5,51.67,9,,,0,Spezia,,,,,,,SerieA
Schuurs Perr,DC,10,,5.08,5.63,5.08,30,4,30,0.82,0.63,0.82,0,0,0,0.93,0.75,0.93,2333,269,2333,77.77,67.25,77.77,,,,1000,5.5,6.5,5.5,5,0,6,4.5,6,0,4.5,5,3,6,6.5,3.5,5.5,4.5,6,5,0,5,5,4,0,5,4.5,4.5,5,4.5,5.5,5,4.5,0,5.5,0,6,0,0,7,,,,2,1,2,0.8263,1519,28,25,55.16,31,,,0,Torino,,,,,,,SerieA
Miguel Veloso,MD,9,,5.07,4.75,5.07,22,2,23,0.39,0.35,0.38,0,0,0,0.64,1,0.65,1167,118,1257,53.05,59,54.65,,,,1000,4.5,5,0,0,0,0,5,0,0,5,4.5,5,5.5,0,0,0,0,0,0,0,5,0,0,6,5.5,5.5,5.5,5,4.5,5,5,5,5,5,5.5,5,4.5,0,,,,,,2,10,0.7639,749,6,10,52.68,20,,,0,Verona,,,,,,,SerieA
Askildsen Kristoffer,MD,6,,5.07,0,5.05,21,0,22,0.4,0,0.41,0,0,0,0.33,0,0.32,721,0,734,34.33,0,33.36,,,,1000,0,5,5,0,0,0,0,0,0,5,0,0,0,0,5,4.5,5,5.5,5,0,0,0,5,5.5,0,0,5,4.5,4.5,6,5.5,5.5,5.5,4.5,5,5,5,0,2,,,,,1,5,0.5863,364,11,3,43.68,20,,,0,Lecce,,,,,,,SerieA
Ruggeri Matteo,DL,9,,5.07,0,4.97,15,0,17,0.84,0,0.87,0,0,0,0.53,0,0.53,823,0,913,54.87,0,53.71,,,,1000,0,0,0,0,0,0,0,0,0,0,6,7,3.5,4,5,0,0,5,5,5,4.5,6,5,0,4.5,0,0,0,5,5,0,0,0,0,5.5,0,0,0,1.5,,,,1,3,6,0.8684,739,12,12,54.93,10,,,0,Atalanta,,,,,,,SerieA
Crnigoj Domen,MO,5,,5.07,0,5.17,7,0,9,0.53,0,0.56,0,0,0,0.57,0,0.67,295,0,430,42.14,0,47.78,,,,1000,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4.5,6,4.5,5.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0.6992,168,9,3,50,6,,,0,Salernitana,,,,,,,SerieA
Obiang Pedro,MD,7,,5.06,0,5.06,17,0,17,0.56,0,0.56,0,0,0,0.65,0,0.65,880,0,880,51.76,0,51.76,,,,1000,0,5.5,0,0,0,4.5,0,0,0,0,0,0,5,4.5,4.5,5,4.5,6,5.5,5.5,5,5,0,4,5,0,5.5,6,0,0,5,0,0,0,0,0,0,0,1,,,,1,,,0.8218,546,8,17,51.92,16,,,0,Sassuolo,,,,,,,SerieA
Vieira Ronaldo,MD,3,,5.06,0,5.05,18,0,20,0.54,0,0.6,0,0,0,0.44,0,0.5,831,0,994,46.17,0,49.7,,,,1000,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4.5,4,5,5.5,0,0,4.5,5,0,0,5,5.5,4.5,5,5.5,5,6,5.5,6,1.5,,,,,,1,0.8259,557,13,10,46.91,22,,,0,Torino,,,,,,,SerieA
Alex Sandro,DL,8,,5.06,0,4.98,25,0,27,1.08,0,1.09,0,0,0,0.84,0,0.85,1787,0,1967,71.48,0,72.85,,,,1000,0,0,3,0,6,0,5,0,0,4.5,0,0,0,5,5,6.5,6,6,0,3.5,2.5,5.5,0,0,3.5,5.5,5.5,5,5.5,4.5,6.5,0,5.5,4.5,5,5,5,7,11,,,,1,2,2,0.8923,1522,15,19,61.14,27,,,0,Juventus,,,,,,,SerieA
Ekdal Albin,MD,12,,5.06,5.29,5.06,31,17,31,0.62,0.64,0.62,0,0,0,0.58,0.76,0.58,1729,1189,1729,55.77,69.94,55.77,,,,1000,5,4.5,5.5,6,4.5,5.5,5,5.5,4,4.5,5.5,6,5.5,6,6,6,5,0,0,0,5,4.5,4.5,4.5,5,5,5.5,4.5,5,5,5,5,0,0,0,3.5,0,5,2.5,,,,2,2,6,0.7342,1065,26,20,53.3,32,,,0,Spezia,,,,,,,SerieA
Ravaglia Nicola,G,14,,5.06,0,5.05,9,0,10,1.45,0,1.36,0,0,0,1,0,0.9,810,0,814,90,0,81.4,,,,1000,0,0,4,5.5,4.5,4,3.5,6,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,27,14,0,Sampdoria,,,,,,,SerieA
Meïté Soualiho,MD,11,,5.05,5.31,5.05,31,13,31,0.93,1.09,0.93,0,0,0,0.9,0.92,0.9,2370,1082,2370,76.45,83.23,76.45,,,,1000,7,5,4,5,6.5,4.5,5,4,7,6,4,6,5,0,5.5,5.5,4,3.5,5.5,5,4,0,5.5,3.5,6,5,5.5,5.5,5,4,5,4.5,5,0,0,0,0,0,4,,,,2,,5,0.8428,1381,27,31,56.49,27,,,0,Cremonese,,,,,,,SerieA
